time ECI_x ECI_y ECI_z ECI_sun_x ECI_sun_y ECI_sun_z
1656945700 740.086990 -1608.701164 6668.267388 -33231927.631625 136174990.709135 59035454.144835
1656945800 646.996879 -2334.287074 6461.208760 -33234786.238160 136174404.015025 59035199.802183
1656945900 546.101771 -3031.714905 6175.992285 -33237644.833307 136173817.269312 59034945.437160
1656946000 438.619061 -3692.572137 5816.070582 -33240503.414768 136173230.472467 59034691.049970
1656946100 325.845504 -4308.890048 5385.800899 -33243361.984837 136172643.624020 59034436.640410
1656946200 209.141873 -4873.239165 4890.394241 -33246220.541219 136172056.724441 59034182.208682
1656946300 89.916048 -5378.822752 4335.851204 -33249079.086208 136171469.773261 59033927.754583
1656946400 -30.393856 -5819.559182 3728.890522 -33251937.617506 136170882.770950 59033673.278318
1656946500 -150.337576 -6190.159114 3076.864775 -33254796.137410 136170295.717037 59033418.779683
1656946600 -268.470273 -6486.189786 2387.671239 -33257654.643621 136169708.611995 59033164.258881
1656946700 -383.370845 -6704.130931 1669.651348 -33260513.138435 136169121.455351 59032909.715708
1656946800 -493.659189 -6841.416604 931.488423 -33263371.619572 136168534.247573 59032655.150368
1656946900 -598.013616 -6896.465958 182.096771 -33266230.088144 136167946.988435 59032400.562761
1656947000 -695.186955 -6868.699714 -569.489139 -33269088.545315 136167359.677696 59032145.952784
1656947100 -784.021621 -6758.543824 -1314.226407 -33271946.988789 136166772.315827 59031891.320641
1656947200 -863.463749 -6567.419467 -2043.177673 -33274805.420860 136166184.902359 59031636.666128
1656947300 -932.575281 -6297.720632 -2747.618094 -33277663.839230 136165597.437762 59031381.989449
1656947400 -990.544940 -5952.778455 -3419.142892 -33280522.246197 136165009.921565 59031127.290401
1656947500 -1036.696960 -5536.815638 -4049.764761 -33283380.639460 136164422.354241 59030872.569187
1656947600 -1070.498407 -5054.888578 -4632.008880 -33286239.021317 136163834.735317 59030617.825603
1656947700 -1091.564307 -4512.822786 -5158.995965 -33289097.389470 136163247.065265 59030363.059855
1656947800 -1099.661193 -3917.137551 -5624.520661 -33291955.746214 136162659.343614 59030108.271736
1656947900 -1094.708693 -3274.967242 -6023.117315 -33294814.089269 136162071.570833 59029853.461451
1656948000 -1076.779469 -2593.973540 -6350.119535 -33297672.420895 136161483.746457 59029598.628799
1656948100 -1046.097522 -1882.257316 -6601.707456 -33300530.738794 136160895.870958 59029343.773983
1656948200 -1003.034850 -1148.262990 -6774.947770 -33303389.045298 136160307.943858 59029088.896796
1656948300 -948.106809 -400.684917 -6867.822408 -33306247.338109 136159719.965627 59028833.997443
1656948400 -881.965847 351.632462 -6879.249166 -33309105.619487 136159131.935802 59028579.075723
1656948500 -805.394236 1099.790679 -6809.092165 -33311963.887151 136158543.854852 59028324.131839
1656948600 -719.295180 1834.938410 -6658.163359 -33314822.143398 136157955.722305 59028069.165585
1656948700 -624.683173 2548.367564 -6428.214967 -33317680.385912 136157367.538636 59027814.177169
